Designator,Mid X,Mid Y,Layer,Rotation
CCB1,50.37,22.60,Bottom,0.0
CCB1-1,95.92,32.46,Bottom,180.0
CCB2,47.71,23.87,Bottom,90.0
CCB2-1,98.46,29.66,Bottom,180.0
CCB3,47.48,19.37,Bottom,0.0
CCB3-1,99.98,31.69,Bottom,180.0
CCB4,45.52,22.62,Bottom,90.0
CCB4-1,101.71,33.73,Bottom,180.0
CCB5,44.40,20.06,Bottom,0.0
CCB5-1,103.23,31.69,Bottom,180.0
CCB6,42.98,22.14,Bottom,0.0
CCB6-1,105.77,33.83,Bottom,90.0
CCB7,37.93,20.26,Bottom,270.0
CCB7-1,108.31,34.13,Bottom,180.0
CCB8,39.96,21.84,Bottom,270.0
CCB8-1,109.07,31.54,Bottom,180.0
CCB9,36.96,23.87,Bottom,270.0
CCB9-1,111.61,31.39,Bottom,90.0
CCB10,34.93,25.14,Bottom,270.0
CCB10-1,113.64,30.07,Bottom,90.0
CCB11,32.90,26.61,Bottom,270.0
CCB11-1,108.57,28.03,Bottom,90.0
CCB12,30.87,28.04,Bottom,270.0
CCB12-1,113.64,26.92,Bottom,90.0
CCB13,37.82,29.00,Bottom,270.0
CCB13-1,115.68,25.24,Bottom,90.0
CCB14,39.91,30.52,Bottom,270.0
CCB14-1,108.56,24.89,Bottom,90.0
CCB15,36.12,32.10,Bottom,270.0
CCB15-1,111.54,22.17,Bottom,0.0
CCS,38.46,36.49,Bottom,270.0
RCB0,52.28,13.71,Bottom,90.0
RCB0-1,90.33,39.24,Bottom,270.0
RCB1,49.23,13.71,Bottom,90.0
RCB1-1,93.38,39.24,Bottom,270.0
RCB2,46.18,13.71,Bottom,90.0
RCB2-1,96.47,39.24,Bottom,270.0
RCB3,43.13,13.71,Bottom,90.0
RCB3-1,99.52,39.24,Bottom,270.0
RCB4,40.09,13.71,Bottom,90.0
RCB4-1,102.57,39.29,Bottom,270.0
RCB5,37.04,13.71,Bottom,90.0
RCB5-1,105.62,39.24,Bottom,270.0
RCB6,33.86,13.71,Bottom,90.0
RCB6-1,108.67,39.24,Bottom,270.0
RCB7,30.87,13.71,Bottom,90.0
RCB7-1,111.71,39.24,Bottom,270.0
RCB8,27.77,13.71,Bottom,90.0
RCB8-1,114.76,39.24,Bottom,270.0
RCB9,24.72,13.71,Bottom,90.0
RCB9-1,117.81,39.24,Bottom,270.0
RCB10,21.67,13.71,Bottom,90.0
RCB10-1,120.88,39.24,Bottom,270.0
RCB11,18.62,13.71,Bottom,90.0
RCB11-1,123.96,39.24,Bottom,270.0
RCB12,15.57,13.71,Bottom,90.0
RCB12-1,127.00,39.24,Bottom,270.0
RCB13,12.53,13.71,Bottom,90.0
RCB13-1,130.10,38.81,Bottom,270.0
RCB14, 9.48,13.71,Bottom,90.0
RCB14-1,133.18,38.07,Bottom,270.0
RCS1,35.23,36.54,Bottom,180.0
RCS2,35.23,38.58,Bottom,180.0
RGNDH,90.36,46.24,Bottom,270.0
RGNDL,52.74, 5.58,Bottom,90.0
